M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083,M084,M085,M086,M087,M088,M089,M090,M091,M092,M093,M094,M095,M096,M097,M098,M099,M0100
gene 290,0,0,0,0,1.46239799789896,1.66275783168157,1.54406804435028,1.69019608002851,1.38021124171161,1.61278385671974,1.53147891704226,0,1.41497334797082,0,0,0,0,1.51851393987789,0,0,0,1.44715803134222,1.32221929473392,0,0,0,1.53147891704226,1.46239799789896,0,0,1.39794000867204,0,1.68124123737559,1.36172783601759,0,1.54406804435028,0,1.27875360095283,0,1.6232492903979,0,0,1.70757017609794,0,0,0,1.50514997831991,0,1.60205999132796,0,0,1.44715803134222,0,1.7160033436348,1.70757017609794,0,0,1.32221929473392,0,1.60205999132796,0,1.34242268082221,0,1.36172783601759,0,1.44715803134222,1.55630250076729,0,1.20411998265592,1.34242268082221,0,0,1.56820172406699,0,0,0,0,0,0,0,1.7160033436348,1.6232492903979,0,1.51851393987789,1.60205999132796,0,0,1.60205999132796,0,0,0,0,0,0,0,1.6232492903979,0,1.36172783601759,1.36172783601759,0
gene 291,1.39794000867204,0,1.43136376415899,1.20411998265592,0,0,0,0,1.57978359661681,1.49136169383427,1.23044892137827,1.38021124171161,0,1.36172783601759,0,1.56820172406699,1.54406804435028,1.39794000867204,0,1.41497334797082,1.30102999566398,1.51851393987789,1,1.20411998265592,1.43136376415899,0,1.39794000867204,0,1.14612803567824,0,1.23044892137827,0,0,0,0,1.39794000867204,1,1.11394335230684,0,1.60205999132796,1.49136169383427,1.43136376415899,1.60205999132796,1.07918124604762,1.39794000867204,0,0,1.27875360095283,1.60205999132796,0,1.25527250510331,1.39794000867204,0,0,1.49136169383427,0.903089986991944,1.43136376415899,1.34242268082221,0,0,1.27875360095283,1.34242268082221,0,1.36172783601759,1.44715803134222,0,0,0,0,0,0,1.49136169383427,1.39794000867204,0,1.34242268082221,1.55630250076729,1.30102999566398,0.954242509439325,0,0,0,1.50514997831991,0,1.27875360095283,0,0,1.11394335230684,1.43136376415899,1.23044892137827,1.55630250076729,0,0,0,1.61278385671974,1.54406804435028,0,1.50514997831991,1.61278385671974,0,1.43136376415899
gene 292,1.34242268082221,0.954242509439325,0,0.602059991327962,0,1.6232492903979,0,1.36172783601759,0,0,1.27875360095283,0.903089986991944,1.47712125471966,0,1.04139268515822,1.39794000867204,0.698970004336019,0,1.14612803567824,0,1.30102999566398,1.11394335230684,0,0,1.07918124604762,0,0,0,0.477121254719662,1.04139268515822,1.11394335230684,0,1.41497334797082,1.34242268082221,1.14612803567824,0.954242509439325,1.17609125905568,1.23044892137827,0.602059991327962,1.30102999566398,0,1.47712125471966,0,0,1.38021124171161,1.54406804435028,0.698970004336019,1.60205999132796,1.34242268082221,0,0.698970004336019,0.602059991327962,0,1.41497334797082,0,1.25527250510331,0,1.17609125905568,0,0.903089986991944,1.17609125905568,0,1.32221929473392,0,0,0.698970004336019,0.778151250383644,0.954242509439325,1.51851393987789,1.14612803567824,0,0,0,1.38021124171161,1.32221929473392,1.14612803567824,1.11394335230684,0.954242509439325,1.20411998265592,0,1.14612803567824,0,1.04139268515822,1.11394335230684,0.903089986991944,1.49136169383427,0,1.07918124604762,1.30102999566398,0,1.14612803567824,1.34242268082221,0.954242509439325,1.07918124604762,1.50514997831991,0.698970004336019,0.477121254719662,1.11394335230684,1.27875360095283,0
gene 293,2.24303804868629,0,0,0,2.06069784035361,2.22788670461367,2.20411998265593,2.26717172840301,0,0,2.11058971029925,0,0,2.10720996964787,2.17026171539496,0,0,2.32221929473392,0,2.19033169817029,0,0,0,2.02938377768521,2.28330122870355,0,2.3541084391474,0,0,2.15533603746506,2.31175386105575,2.30749603791321,2.43136376415899,2.26007138798507,0,2.12385164096709,2.07188200730613,1.91381385238372,2.25042000230889,0,0,2.31175386105575,0,2.02530586526477,0,2.24551266781415,2.07554696139253,0,0,2.24303804868629,0,2.20682587603185,1.96848294855394,2.25527250510331,0,2.02938377768521,2.2405492482826,0,2.24797326636181,0,0,0,2.01703333929878,2.13987908640124,0,0,2.22788670461367,0,2.10380372095596,0,2.14301480025409,2.30102999566398,0,2.18752072083646,2.12057393120585,2.26717172840301,2.12385164096709,0,0,0,2.33041377334919,0,2.23552844690755,2.10380372095596,0,0,0,2.10037054511756,2.35024801833416,0,0,2.19865708695442,0,2.16731733474818,0,2.16435285578444,0,2.14921911265538,2.01283722470517,2.12710479836481
gene 294,1.14612803567824,1.17609125905568,0,1.11394335230684,1.07918124604762,0,0,0.845098040014257,1.14612803567824,0,1.36172783601759,0,1.20411998265592,0,0,0,0,1.32221929473392,1.04139268515822,0,0,0,1.07918124604762,0,0,0,0.698970004336019,0.845098040014257,0.698970004336019,1.57978359661681,1.20411998265592,1.25527250510331,0,1.20411998265592,0,1,1.27875360095283,0,1.17609125905568,0,1.32221929473392,1.32221929473392,0.954242509439325,0,0,0,1.27875360095283,1.07918124604762,0,0,1.23044892137827,1.17609125905568,1.14612803567824,0,0,0,1.54406804435028,1.20411998265592,1.32221929473392,1.49136169383427,1.47712125471966,0,0,1.27875360095283,0,1.25527250510331,0,1.50514997831991,0,0,1.41497334797082,0.903089986991944,1.17609125905568,0,0,0.903089986991944,0,0.954242509439325,0,1,0.698970004336019,1,0,1.46239799789896,0,1.20411998265592,0,1.14612803567824,1.11394335230684,1.30102999566398,0,0,0,0,0,1.07918124604762,1.04139268515822,0,1,0
gene 295,0,0.301029995663981,0,0,0,0,0,0.301029995663981,0.301029995663981,0,0,0,0.301029995663981,0,0,0.301029995663981,0,0.602059991327962,0,0,0,0,0,0,0.602059991327962,0,0.301029995663981,0,0,0,0.301029995663981,0,0,0.301029995663981,0.477121254719662,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0.301029995663981,0,0.301029995663981,0.602059991327962,0,0,0,0.301029995663981,0.602059991327962,0.845098040014257,0,0.477121254719662,0,0.477121254719662,0,0.301029995663981,0,0,0,0,0,0,0.602059991327962,0,0.477121254719662,0,0,0,0,0,0.301029995663981,0,0.301029995663981,0,0.301029995663981,0.301029995663981,0.698970004336019,0,0.602059991327962,0.698970004336019,0,0,0,0.301029995663981,0,0,0,0,0,0.602059991327962,0
gene 296,0,1.77815125038364,1.72427586960079,0,0,1.82607480270083,1.69019608002851,0,1.46239799789896,0,0,1.67209785793572,1.47712125471966,1.41497334797082,1.49136169383427,0,1.85733249643127,1.7160033436348,0,1.5910646070265,0,0,1.38021124171161,0,1.61278385671974,0,2.02938377768521,0,0,0,0,0,1.77085201164214,1.49136169383427,0,1.50514997831991,1.54406804435028,1.60205999132796,1.63346845557959,0,1.60205999132796,0,0,1.32221929473392,1.56820172406699,1.75587485567249,1.27875360095283,0,1.38021124171161,1.63346845557959,0,1.57978359661681,1.81291335664286,1.95424250943932,0,1.17609125905568,1.91907809237607,1.36172783601759,0,1.51851393987789,0,1.46239799789896,1.49136169383427,0,0,0,0,1.64345267648619,1.63346845557959,0,1.60205999132796,1.61278385671974,1.66275783168157,1.5910646070265,1.60205999132796,0,0,1.63346845557959,1.47712125471966,1.11394335230684,1.46239799789896,1.56820172406699,0,1.84509804001426,1.69019608002851,1.20411998265592,1.54406804435028,0,1.67209785793572,1.73239375982297,0,0,1.46239799789896,0,1.70757017609794,0,1.77085201164214,1.53147891704226,1.61278385671974,0
gene 297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0,0,0,0,0,0,0.477121254719662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0
gene 298,0.903089986991944,0,0,0,0,0,0.602059991327962,0,0.903089986991944,0,0,0.301029995663981,0.477121254719662,0,0.698970004336019,0,0,0,0,0,0.301029995663981,0.602059991327962,0,0,0,0.602059991327962,0,0,0,0,0,0.602059991327962,0.698970004336019,0,0,0,0,0.477121254719662,0,0.903089986991944,0.602059991327962,0.845098040014257,0.698970004336019,0,0,0.477121254719662,0,0,0.698970004336019,0.602059991327962,0.477121254719662,0,0.778151250383644,1,0,0.301029995663981,0.301029995663981,0,0.903089986991944,0,0.301029995663981,0,0,0,0,0,0.301029995663981,0.301029995663981,0,0,0.301029995663981,0.954242509439325,0,0.903089986991944,0.602059991327962,0.301029995663981,0.698970004336019,0,0,0,0.301029995663981,0,0.698970004336019,0,0.954242509439325,0.778151250383644,0.602059991327962,0,0.954242509439325,0.477121254719662,0,0,1,0,0.698970004336019,0.301029995663981,0,0.778151250383644,0,0
gene 299,0,0,2.13987908640124,0,0,0,2.17897694729317,0,2.38560627359831,2.2148438480477,0,2.12710479836481,0,2.11394335230684,0,2.15533603746506,2.3096301674259,2.17026171539496,0,2.17026171539496,0,2.11394335230684,2.12385164096709,1.88649072517248,2.16731733474818,0,0,2.1846914308176,0,2.21218760440396,0,2.39619934709574,2.32428245529769,2.12057393120585,2.13033376849501,0,1.98677173426624,2.04139268515822,2.18184358794477,2.37291200297011,0,2.22788670461367,2.32633586092875,0,2.13987908640124,0,2.07188200730613,2.27646180417324,0,2.14301480025409,0,2.08278537031645,0,2.28780172993023,2.0899051114394,0,2.32633586092875,0,0,2.13353890837022,2.05690485133647,1.94448267215017,1.95904139232109,2.19033169817029,1.94448267215017,0,2.23299611039215,0,0,1.67209785793572,0,2.16731733474818,2.25767857486918,0,0,0,2.14612803567824,2.19865708695442,0,1.96848294855394,0,2.28555730900777,2.19312459835446,0,2.09342168516224,2.18752072083646,2.17026171539496,2.14921911265538,0,2.19033169817029,0,1.91907809237607,1.92941892571429,0,2.17897694729317,0,0,2.11727129565576,0,0
gene 300,0,0,0,1.32221929473392,1.30102999566398,1.41497334797082,0,1.65321251377534,0,0,0,1.39794000867204,1.46239799789896,1.20411998265592,0,0,0,0,0,0,0.954242509439325,1.25527250510331,0,1,1.23044892137827,1.38021124171161,0,0,0,0,1.17609125905568,1.39794000867204,0,0,1.44715803134222,1.51851393987789,1.43136376415899,0,0,1.41497334797082,1.38021124171161,0,1.60205999132796,0,1.41497334797082,0,0,1.64345267648619,1.23044892137827,0,1,1.25527250510331,1.27875360095283,1.69897000433602,1.47712125471966,1,1.55630250076729,1.51851393987789,0,1.20411998265592,1.44715803134222,0.845098040014257,0,0,0,1.53147891704226,1.27875360095283,0,0,0,0,0,0,0,0,1.43136376415899,0,0,1.07918124604762,0,0,1.14612803567824,1.34242268082221,0,1.47712125471966,1.57978359661681,1.34242268082221,1.23044892137827,1.43136376415899,1.17609125905568,1.63346845557959,0,0,0,1.14612803567824,1.17609125905568,1.27875360095283,1.60205999132796,0,1.49136169383427
gene 301,0.301029995663981,0,0.301029995663981,0,0,0,0,0,0,0.477121254719662,0,0.301029995663981,0,0.602059991327962,0,0.845098040014257,0.477121254719662,0,0.477121254719662,0,0,0,0,0.301029995663981,0,0.477121254719662,0,0,0,0,0.477121254719662,0,0,0,0.602059991327962,0,0,0.477121254719662,0.602059991327962,0,0,0.301029995663981,0,0,0,0,0,0.477121254719662,0,0,0,0.301029995663981,0,0,0,0.301029995663981,0.301029995663981,0,0,0,0.301029995663981,0,0,0,0.602059991327962,0,0,0,0,0.301029995663981,0.301029995663981,0,0,0,0,0,0,0.602059991327962,0,0.477121254719662,0,0,0.301029995663981,0.698970004336019,0,0.301029995663981,0,0.477121254719662,0,0,0.602059991327962,0,0,0,0,0,0.477121254719662,0,0.477121254719662,0
gene 302,0,0,0.698970004336019,1.07918124604762,0,0,1.17609125905568,0.778151250383644,0.903089986991944,0,1.17609125905568,0,0,0.778151250383644,0.698970004336019,0,0,0,0,0.845098040014257,0.477121254719662,1.07918124604762,0,0,0,0,0,0,0.845098040014257,0,0,0.903089986991944,1.04139268515822,0,0,0,0.954242509439325,0,0,0.778151250383644,0.301029995663981,0,1.20411998265592,0,0,0.778151250383644,0,0,0.954242509439325,0.477121254719662,0.477121254719662,0.698970004336019,0,1.04139268515822,0,0.845098040014257,0.477121254719662,0.698970004336019,1.11394335230684,0,0.477121254719662,0,0.778151250383644,0.301029995663981,0,1.20411998265592,0.845098040014257,0.477121254719662,0,0.903089986991944,0,1.14612803567824,0,0.477121254719662,0.903089986991944,1.14612803567824,1,0.602059991327962,0,0,0,1.11394335230684,0,1.30102999566398,0.903089986991944,0,0,0,0,0,0,0,0.778151250383644,0.698970004336019,0.954242509439325,0.954242509439325,0,0,0,0
gene 303,0,1.44715803134222,0,1.76342799356294,0,1.70757017609794,1.72427586960079,0,1.69019608002851,0,0,1.55630250076729,1.69019608002851,1.43136376415899,1.61278385671974,1.72427586960079,0,1.92941892571429,0,0,0,1.68124123737559,1.49136169383427,1.51851393987789,1.80617997398389,1.85733249643127,0,1.7481880270062,1.60205999132796,0,0,1.75587485567249,1.85733249643127,1.83250891270624,0,0,0,1.61278385671974,0,1.66275783168157,0,1.83250891270624,1.56820172406699,1.23044892137827,1.68124123737559,0,1.90308998699194,1.5910646070265,1.86923171973098,1.64345267648619,1.55630250076729,1.39794000867204,1.57978359661681,1.79934054945358,0,1.25527250510331,0,0,0,0,1.5910646070265,1.34242268082221,0,0,1.6232492903979,0,1.49136169383427,0,0,1.51851393987789,0,1.50514997831991,0,0,0,1.47712125471966,1.54406804435028,0,1.23044892137827,0,0,0,1.64345267648619,1.60205999132796,1.7160033436348,1,0,0,0,1.46239799789896,0,1.57978359661681,1.55630250076729,1.72427586960079,1.63346845557959,1.78532983501077,1.57978359661681,0,0,0
gene 304,1.67209785793572,0,1.39794000867204,1.67209785793572,0,0,1.68124123737559,1.56820172406699,0,1.6232492903979,1.14612803567824,1.7481880270062,1.6232492903979,0,1.38021124171161,1.51851393987789,1.44715803134222,1.44715803134222,1.72427586960079,0,0,1.53147891704226,1.36172783601759,1.25527250510331,1.63346845557959,1.70757017609794,0,1.50514997831991,1.14612803567824,1.55630250076729,1.30102999566398,1.6232492903979,1.41497334797082,0,0,1.53147891704226,1.20411998265592,1.49136169383427,1.61278385671974,0,0,1.77815125038364,1.49136169383427,0,1.55630250076729,1.51851393987789,1.61278385671974,1.64345267648619,1.65321251377534,0,1.11394335230684,1.27875360095283,0,0,0,1.27875360095283,0,1.44715803134222,1.7481880270062,1.25527250510331,1.30102999566398,0.903089986991944,1.39794000867204,1.46239799789896,0,1.43136376415899,1.57978359661681,1.34242268082221,0,1.46239799789896,0,0,1.57978359661681,0,1.64345267648619,0,0,0,1.27875360095283,1.55630250076729,1.55630250076729,1.61278385671974,1.51851393987789,1.63346845557959,1.6232492903979,1.53147891704226,1.36172783601759,0,1.57978359661681,0,0,1.43136376415899,0,0,1.30102999566398,0,0,1.46239799789896,0,0
gene 305,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602059991327962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0,0,0.301029995663981,0,0,0,0,0,0.477121254719662,0,0,0,0.301029995663981,0,0,0,0,0,0,0.301029995663981,0.301029995663981,0,0,0,0,0,0.301029995663981
gene 306,0,2.64738297011462,2.60852603357719,0,2.65609820201283,2.70926996097583,2.83569057149243,0,0,0,2.72098574415374,0,2.81424759573192,2.52374646681156,0,0,2.7664128471124,2.81291335664286,0,2.63948648926859,2.44870631990508,2.52504480703685,2.69196510276736,2.57287160220048,2.61278385671974,2.73559889969818,2.92012332629072,2.68574173860226,0,0,0,2.73878055848437,2.7979596437372,0,2.51321760006794,2.57403126772772,2.58994960132571,0,2.64640372622307,0,2.78887511577542,2.75358305889291,2.80413943233535,2.67486114073781,0,2.73798732633343,2.65224634100332,0,2.66086547800387,2.55750720190566,2.61489721603313,0,2.83695673705955,0,2.63346845557959,2.37291200297011,2.68033551341456,2.74429298312268,0,2.39269695325967,2.75204844781944,2.41830129131975,0,2.62838893005031,2.66275783168157,0,0,2.66558099101795,2.66745295288995,0,0,2.69983772586725,2.61489721603313,2.57749179983723,2.65896484266444,2.60852603357719,2.56110138364906,2.70842090013471,0,2.59879050676312,2.69460519893357,0,2.76492298464989,2.74663419893758,0,0,2.65513843481138,2.54900326202579,2.64246452024212,2.75358305889291,2.57518784492766,0,2.46538285144842,2.57518784492766,2.63042787502502,0,2.58092497567562,0,2.47567118832443,0
gene 307,0,0,1.79239168949825,1.8750612633917,0,1.78532983501077,1.8750612633917,1.81291335664286,0,1.80617997398389,1.85733249643127,0,1.86923171973098,1.86923171973098,1.5910646070265,1.94448267215017,2.09691001300806,0,0,0,1.47712125471966,1.76342799356294,1.61278385671974,1.70757017609794,0,0,0,0,1.46239799789896,0,0,0,0,2.01283722470517,0,1.76342799356294,0,1.47712125471966,0,0,0,0,1.60205999132796,1.76342799356294,1.36172783601759,1.73239375982297,1.66275783168157,1.84509804001426,0,1.85733249643127,1.41497334797082,0,1.80617997398389,0,1.68124123737559,0,0,1.50514997831991,0,0,1.55630250076729,1.38021124171161,1.5910646070265,1.7481880270062,1.44715803134222,0,1.50514997831991,0,1.56820172406699,1.63346845557959,0,0,1.7160033436348,1.36172783601759,1.95424250943932,0,1.6232492903979,0,1.49136169383427,0,1.88081359228079,1.69897000433602,1.95424250943932,1.84509804001426,1.69897000433602,1.60205999132796,0,1.79239168949825,1.92427928606188,0,0,0,1.60205999132796,0,0,0,0,1.92427928606188,0,1.55630250076729
gene 308,1.60205999132796,0,1.56820172406699,0,1.20411998265592,1.43136376415899,0,1.43136376415899,0,1.53147891704226,0,1.44715803134222,1.44715803134222,1.32221929473392,1.51851393987789,0,1.56820172406699,1.41497334797082,0,0,0.954242509439325,1.38021124171161,1.34242268082221,0,0,0,0,0,1.27875360095283,0,0,1.43136376415899,0,1.43136376415899,0,1.41497334797082,1.20411998265592,0,0,1.36172783601759,1.56820172406699,1.49136169383427,1.38021124171161,1.14612803567824,0,0,1.27875360095283,1.23044892137827,0,1.67209785793572,1.36172783601759,1.34242268082221,1.20411998265592,0,0,0,0,0,1.51851393987789,1.04139268515822,1.43136376415899,0.602059991327962,1.32221929473392,1.17609125905568,1.60205999132796,1.30102999566398,0,1.34242268082221,0,1.36172783601759,0,1.39794000867204,0.903089986991944,0,0,1.34242268082221,0,1.41497334797082,0,1.46239799789896,1.25527250510331,0,0,1.56820172406699,1.61278385671974,0,0,0,1.69019608002851,0,0,1.38021124171161,1.25527250510331,0,0,1.11394335230684,1.55630250076729,1.50514997831991,1.69897000433602,0
gene 309,0,0.477121254719662,0.698970004336019,0.301029995663981,0,0,1,0.954242509439325,0,0.845098040014257,0.698970004336019,0.698970004336019,0.778151250383644,0.602059991327962,0,0.602059991327962,0.778151250383644,0.845098040014257,1,0.778151250383644,0,0,0,0,0,0,1.25527250510331,0.602059991327962,0,1,0,0,1.07918124604762,0,0.845098040014257,0.845098040014257,0.778151250383644,0,0,1.04139268515822,0,0.778151250383644,0.954242509439325,0,0,0.954242509439325,0,0,0.845098040014257,0.602059991327962,0.301029995663981,0,0,0.477121254719662,0.954242509439325,0.602059991327962,0.477121254719662,0.698970004336019,0.698970004336019,0.602059991327962,0.301029995663981,0,0,0.301029995663981,0,0,0.301029995663981,0.477121254719662,0.903089986991944,0.301029995663981,0,0,0.778151250383644,0.698970004336019,0.778151250383644,0.477121254719662,0,0,0,0,1.07918124604762,0.602059991327962,0,0,0,0,0,0,0.602059991327962,0.477121254719662,0.845098040014257,0.477121254719662,0,0.477121254719662,0,0.778151250383644,0.698970004336019,0,0,1
gene 310,0,0,2.02118929906994,1.91907809237607,2.02530586526477,2.01283722470517,1.97772360528885,0,0,2,2.10380372095596,0,0,2.02118929906994,0,1.85733249643127,0,2.08278537031645,2.13672056715641,2,0,0,1.78532983501077,0,1.99122607569249,2.04139268515822,0,0,1.73239375982297,1.91907809237607,1.88649072517248,2.20411998265593,0,1.96848294855394,0,0,0,0,0,0,0,2.03742649794062,0,1.69019608002851,2.15533603746506,1.95904139232109,1.94448267215017,0,0,0,0,0,0,0,0,1.83884909073726,0,2.01283722470517,0,0,2.09342168516224,0,1.96378782734556,0,1.95424250943932,0,0,1.97772360528885,0,0,0,1.90848501887865,2.04532297878666,0,1.65321251377534,1.84509804001426,2.05690485133647,1.96378782734556,1.85125834871908,0,2.09342168516224,1.95904139232109,0,0,0,1.6232492903979,2.06818586174616,0,0,0,0,1.94448267215017,1.86332286012046,2,2.00860017176192,1.90308998699194,0,0,1.7481880270062,2.0899051114394
gene 311,1.5910646070265,0,0,1.69019608002851,0,0,0,0,0,1.77815125038364,0,1.27875360095283,1.64345267648619,0,0,1.75587485567249,1.53147891704226,1.44715803134222,1.17609125905568,0,1.36172783601759,1.43136376415899,1.30102999566398,0,0,0,0,0,0,1.04139268515822,0,0,0,0,1.36172783601759,0,0,1.60205999132796,1.27875360095283,0,1.36172783601759,1.38021124171161,0,1.41497334797082,0,1.80617997398389,1.41497334797082,0,0,1.70757017609794,0,0,1.38021124171161,0,1.5910646070265,0,0,1.39794000867204,1.92427928606188,1.34242268082221,0,1.04139268515822,1.5910646070265,1.43136376415899,1.50514997831991,0,0,0,1.69897000433602,0,0,0,1.32221929473392,1.50514997831991,0,0,0,0,1.53147891704226,1.17609125905568,1.80617997398389,0,0,1.57978359661681,1.44715803134222,1.92941892571429,1.23044892137827,0,1.65321251377534,1.76342799356294,1.23044892137827,1.7160033436348,0,0,0,1.14612803567824,0,0,1.55630250076729,0
gene 312,0.477121254719662,0.602059991327962,0,0,0,0,0,0,0,0,0.698970004336019,0,0.845098040014257,1.04139268515822,0.301029995663981,1.25527250510331,0,1,0.954242509439325,0.602059991327962,0,0,0,0.301029995663981,0,0.301029995663981,0,0,0,0,0,0.778151250383644,0,0,0,0,0.845098040014257,0,0,0,0,0.698970004336019,1.07918124604762,0,1.25527250510331,1.23044892137827,0,0,0,0,1.23044892137827,1.20411998265592,0.903089986991944,0.602059991327962,1.14612803567824,0.301029995663981,0,0.602059991327962,1.14612803567824,0.845098040014257,1.32221929473392,1.30102999566398,0,0.301029995663981,0,1,0.954242509439325,0.477121254719662,1,1.07918124604762,1.70757017609794,0.903089986991944,0.698970004336019,1,1.30102999566398,0.477121254719662,0.778151250383644,1.11394335230684,0.903089986991944,1,0,0.903089986991944,0,0,0.845098040014257,0,0.954242509439325,0,1.20411998265592,1.11394335230684,0.477121254719662,0,0.778151250383644,0,0,0,0.903089986991944,0,0,0.602059991327962
gene 313,2.00860017176192,0,0,2.08278537031645,0,2.02118929906994,2.02118929906994,0,0,1.79239168949825,0,0,0,2.02938377768521,1.81291335664286,2.13987908640124,2.19589965240923,0,0,2.15228834438306,0,1.93449845124357,1.96378782734556,0,1.97772360528885,0,2.33645973384853,1.92941892571429,0,2.09691001300806,0,0,0,1.92427928606188,1.94448267215017,0,1.8750612633917,1.85733249643127,1.97772360528885,0,2.11058971029925,2.13353890837022,2.13353890837022,1.96378782734556,1.70757017609794,0,0,2,1.99122607569249,0,1.8750612633917,0,0,2.19312459835446,2.03342375548695,0,0,0,0,1.96848294855394,0,0,1.88649072517248,0,2.17026171539496,2.10720996964787,1.95424250943932,1.85125834871908,0,1.84509804001426,0,2.01283722470517,1.86923171973098,2,0,0,0,0,0,0,1.98227123303957,1.85733249643127,2.03342375548695,0,2.19589965240923,0,0,0,2.04139268515822,2.00432137378264,0,1.94448267215017,0,2.08278537031645,0,1.96378782734556,2.16731733474818,2.04139268515822,0,0
gene 314,0,0,0.845098040014257,0,0,0,1.25527250510331,1.20411998265592,1.04139268515822,0,0,1.27875360095283,1.20411998265592,1.57978359661681,1.27875360095283,0,1.46239799789896,0,0,0.903089986991944,0,0.845098040014257,0.602059991327962,0,1.47712125471966,0,0,1.07918124604762,0.477121254719662,0,0,0,1.30102999566398,0,1.44715803134222,0,0,0,1.32221929473392,0,0.698970004336019,0,0,1.14612803567824,0,1.69897000433602,0,0,1,1.49136169383427,0.903089986991944,0,1.27875360095283,1.30102999566398,0,1.25527250510331,0.698970004336019,0,0,0,0,1.20411998265592,0,0,0.301029995663981,1.14612803567824,1,0.778151250383644,1.54406804435028,0,0.954242509439325,0,0.778151250383644,1.50514997831991,0,0,0.698970004336019,1.53147891704226,0,1.04139268515822,1.49136169383427,0.903089986991944,0,0.903089986991944,0,0,0,0,1.07918124604762,0,1.11394335230684,1.47712125471966,0,0.698970004336019,0,0,0,0,1.36172783601759,1.11394335230684
gene 315,0,0,0,0,0,0,1,0,0,0,0.845098040014257,0,0.954242509439325,0,0,0,0,0,1.07918124604762,0,0,1.07918124604762,0.698970004336019,0,1.20411998265592,0.778151250383644,0,0,0.301029995663981,0,0.954242509439325,0,0.954242509439325,0,0.778151250383644,1.20411998265592,1.11394335230684,0,0.698970004336019,0,0.698970004336019,0,0,0,0.903089986991944,0,0,1.30102999566398,0.778151250383644,0,0.477121254719662,1.14612803567824,0,0.778151250383644,0.845098040014257,0,0.845098040014257,0,0,0,0,0,0,1.25527250510331,0,0.778151250383644,0.477121254719662,0,1,0.954242509439325,0,1.04139268515822,0.903089986991944,0.602059991327962,0.602059991327962,0,0,0,0,0,0,0,0.698970004336019,0.954242509439325,0,0.602059991327962,0,0.778151250383644,0,0,0,0,0,1.07918124604762,0,0.845098040014257,0,1.38021124171161,0.602059991327962,0
gene 316,0,0.602059991327962,0,1.25527250510331,0,1.11394335230684,0,0,1,0,0,0,0,0,1.14612803567824,0.954242509439325,0.845098040014257,1.27875360095283,0,1.11394335230684,0,0,0.477121254719662,0.602059991327962,1.14612803567824,1.32221929473392,0,0,0,0,1.36172783601759,0.903089986991944,0,0,1.23044892137827,0,0,0.698970004336019,1.14612803567824,0,0,0,0,0.477121254719662,0.602059991327962,1.04139268515822,0,0,1.11394335230684,0.602059991327962,0,0.698970004336019,0,0,0,0.698970004336019,0,0,1,1.11394335230684,0,0,1.34242268082221,0,1.34242268082221,0.954242509439325,1.14612803567824,1.14612803567824,0,1.07918124604762,1.14612803567824,0,0,0,0,0,0,0.477121254719662,1.11394335230684,0,0,0,0,1.14612803567824,0,0,0,0,0.954242509439325,0,0.845098040014257,0.602059991327962,0,0,0,0.698970004336019,0,1.32221929473392,0,0.845098040014257
gene 317,0,0,0,0,0,0,1.53147891704226,0,1.41497334797082,0,1.30102999566398,0,0,1.27875360095283,0,1.36172783601759,1.56820172406699,1.39794000867204,0,0,0,0,0,1.14612803567824,1.43136376415899,1.07918124604762,1.47712125471966,1.25527250510331,0,0,0,1.23044892137827,1.51851393987789,1.51851393987789,1.36172783601759,1.17609125905568,1.23044892137827,0,0,1.57978359661681,0,0,1.32221929473392,1.30102999566398,1.25527250510331,1.51851393987789,1.43136376415899,0,0,0,1.17609125905568,1.49136169383427,0,0,0,0,0,1.46239799789896,0,0,0,0.903089986991944,0,1.11394335230684,0,1.30102999566398,1.07918124604762,0,1.34242268082221,1.11394335230684,0,1.39794000867204,0,1.32221929473392,0,1.34242268082221,0,0,1.25527250510331,1.38021124171161,1.20411998265592,0,1.17609125905568,1.17609125905568,1.30102999566398,0,0,1.14612803567824,0,1.25527250510331,1.32221929473392,0,0,1.39794000867204,1.17609125905568,0,1.32221929473392,1.60205999132796,0.845098040014257,0
